_NAME_	Factor1	Factor2	Factor3	Factor4	load	secondary
v000145	-0.128103549	-0.245905717	0.0382140559	0.013653508		
v000148	0.1876212153	-0.041485971	-0.042588807	0.2301363959		
v000157	0.0461584077	-0.075520445	-0.162471774	0.2831245642		
v000158	0.1708816758	-0.116899309	-0.176960562	0.0869903005		
v000163	0.2197463526	-0.164327597	-0.077109222	-0.480252819		
v000164	0.3824767456	0.0857615588	0.2156287691	0.1960949533		
v000171	-0.024986346	-0.315826863	-0.253277164	0.2077206254		
v000185	0.3127617021	-0.031141194	0.0695581742	0.1943156047		
v000188	-0.219631228	-0.204456512	-0.154446079	-0.085345155		
v000204	0.0578754002	-0.023108957	0.6057036491	0.1131309508		
v000207	0.0293096031	-0.292255127	-0.131324564	0.294840459		
v000222	0.2314643332	0.1687713849	-0.102174128	-0.000609094		
v000224	0.2329787904	-0.012747608	0.0394862149	-0.198485943		
v000227	-0.034842313	-0.095312821	-0.086599078	0.6930581344		
v000231	0.1476477617	-0.071844638	-0.296426753	0.2694289275		
v000238	0.32624055	1.2547532998	0.0062888804	0.1757535589	fac1	1
v000239	0.1408256302	-0.056917036	-0.263151036	0.2487221672		
v000246	-0.060139982	-0.12376348	-0.189391138	0.2878031419		
v000247	-0.151323285	0.0789482203	0.1904092877	0.2736361615		
v000251	0.1288658304	-0.212086364	-0.143898774	0.1870569228		
v000252	-0.418482345	-0.189694618	-0.265380909	0.5124482586	fac1	1
v000253	0.0271074987	-0.131003324	0.0171442335	0.2783987508		
v000254	-0.243791832	-0.085492978	0.0866995818	0.1748740474		
v000259	0.1995448986	0.015526865	-0.109508334	-0.108347388		
v000267	-0.150193328	0.051639737	-0.172936024	0.1337924716		
v000272	-0.003931923	0.0765101825	-0.152041178	0.1154703901		
v000273	0.0749320203	-0.140827076	-0.212921838	-0.168386229		
v000274	0.0460588365	-0.009722001	0.0004841024	-0.34596414		
v000277	-0.113772356	-0.075177269	-0.059064236	-0.069622399		
v000283	-0.045674548	1.2316489482	-0.148139614	0.1671500629		
v000285	-0.174589276	-0.063509872	0.0095847915	-0.151414147		
v000288	-0.018746073	0.0074922881	-0.183014012	0.2174235332		
v000289	-0.17846904	0.0915521511	0.2346399208	0.3657960714		
v000290	0.0816976977	-0.020635372	-0.068214059	-0.544131835		
v000292	-0.059486584	-0.048791005	-0.22677008	-0.081961776		
v000293	-0.000015313	-0.088533647	0.0134974452	0.5153689426		
v000297	-0.095763967	-0.253394627	-0.376048371	0.2096874459		
v000299	-0.110240101	0.015511889	-0.009902017	-0.009021567		
v000302	-0.031807356	-0.123806533	-0.141889995	0.3437460448		
v000304	-0.173074568	-0.195005577	-0.275393982	0.293672663		
v000305	-0.163610956	0.1463920655	-0.401174645	0.4666262095	fac3	1
v000307	-0.485632606	-0.136850886	-0.269894401	0.4440978143	fac4	1
v000314	-0.106662479	-0.044442653	-0.355994276	0.2890202844		
v000315	0.0406266079	-0.076135244	0.0352410471	0.0817475577		
v000316	-0.069421128	0.1368434388	0.0471383074	0.0803795286		
v000319	0.2382424863	-0.056850068	-0.147751902	-0.300727353		
v000323	-0.126973614	-0.175974076	-0.369773314	0.0695553458		
v000325	-0.263601822	-0.076500279	0.0572173498	0.2125231323		
v000326	0.0884946087	-0.032239926	0.1967079536	0.2469399257		
v000327	0.050825451	-0.00497626	-0.098922351	0.1894358231		
v000330	-0.07288319	-0.080191559	0.4916876143	0.1136809588		
v000335	-0.000229197	-0.070571284	0.7197697178	0.0489202973		
v000337	-0.161501304	-0.025562475	0.1398858324	0.20694344		
v000338	-0.295766275	0.0428668863	-0.193401456	0.1058096563		
v000339	-0.292770137	0.022480489	0.293664774	-0.04623953		
v000341	-0.009179986	1.2196778596	-0.093638264	0.1831729125		
v000344	0.1664576266	-0.083863915	-0.19160073	0.2258483338		
v000350	-0.280205489	-0.049392283	-0.048613652	-0.063378623		
v000352	-0.231024352	0.0899180183	-0.351806794	0.1598460329		
v000354	-0.229232406	-0.145794403	-0.099611053	-0.01784453		
v000355	0.12188414	-0.047944498	0.0296916039	-0.048813656		
v000356	-0.192628557	-0.092166178	0.8530532413	-0.004039181		
v000359	0.0587794854	-0.130709345	0.0461593556	-0.013579051		
v000360	-0.017475483	-0.085798934	-0.001088877	-0.069954948		
v000366	0.2366054016	0.1240669884	0.1952085336	0.2472109384		
v000367	-0.257450597	-0.120518042	0.0253324239	0.1385350695		
v000368	-0.252206705	0.0268297615	-0.000991308	-0.114098551		
v000369	-0.347731604	-0.028898885	-0.050352977	-0.108832967		
v000371	0.1866767869	0.0174650157	-0.142611209	-0.105525136		
v000372	-0.07002717	-0.059265806	0.0473403856	-0.430186419		
v000373	0.0750704413	-0.06025954	-0.073483481	-0.337721022		
v000380	-0.321009122	-0.108630616	-0.208778817	-0.135023459		
v000381	0.0200932893	0.1302465307	0.4018981195	0.0668249333		
v000383	-0.014938132	-0.016559219	0.2393719181	0.0764624631		
v000385	-0.127469989	-0.029407476	0.1966362825	0.096738143		
v000386	-0.021466622	0.0761964201	0.2368138069	0.2046762562		
v000388	-0.202652597	-0.005330813	-0.055178721	-0.070384378		
v000390	-0.155289966	0.0205937974	0.1891446385	0.0479814883		
v000403	-0.211360342	-0.043514187	-0.03640897	-0.049627123		
v000406	-0.134826652	-0.094657757	-0.037162542	-0.4211876		
v000409	-0.404675075	-0.119081268	0.0954542141	-0.048497463		
v000414	-0.405731141	-0.067202289	-0.063981796	-0.089264389		
v000419	-0.120313877	-0.098670213	-0.197051025	-0.358209494		
v000429	-0.240500901	-0.108281056	-0.155345536	-0.291414879		
v000430	-0.038734178	0.0703430409	0.0121907821	0.0876884869		
v000431	-0.136725333	-0.085138188	-0.019933481	-0.160137325		
v000434	-0.140744258	-0.130667167	-0.111727445	-0.126401714		
v000436	-0.103358846	1.1286114333	0.0106467962	-0.047945167		
v000438	-0.286277553	1.1690131574	-0.061252832	0.086970819		
v000446	-0.332310911	-0.009180444	-0.096947437	-0.252412817		
v000448	-0.098473521	-0.178986693	-0.041951874	-0.149580908		
v000450	-0.237034293	-0.070341274	-0.087938327	-0.129031921		
v000451	-0.018135628	-0.108487733	-0.175773565	-0.409183204		
v000454	-0.024278307	0.0526569224	-0.312069352	-0.036142735		
v000455	-0.134002261	-0.155994608	-0.111686393	-0.371534981		
v000457	-0.06476782	-0.107993651	-0.12733788	-0.3622586		
v000459	-0.012811519	-0.058171182	-0.183336592	-0.336557023		
v000460	-0.424682866	-0.000521418	0.3130646392	-0.009194225	fac3	1
v000462	-0.39467479	-0.018344796	-0.098313699	-0.146864198		
v000464	-0.292112052	-0.162014064	-0.019517427	-0.059476202		
v000466	-0.27821989	-0.010925083	0.0226131054	-0.230974724		
v000473	-0.188710092	1.2117266014	-0.086565302	-0.057472591		
v000474	-0.187362381	-0.000988661	0.7293383206	-0.051265922		
v000476	-0.278380884	-0.037012808	1.1050248267	-0.062296199		
v000484	-0.278533558	-0.029271152	0.2234420813	-0.020722303		
v000485	0.0416057923	-0.049937845	-0.091777553	-0.315532438		
v000486	-0.117322613	0.0980920861	-0.127803593	-0.105487776		
v000494	-0.347233943	-0.119258331	0.0226307113	-0.139193916		
v000501	-0.243555675	-0.012688851	0.8065136675	0.0249089914		
v000511	-0.134360299	0.1093908158	-0.261657163	-0.022355134		
v000512	-0.333044676	0.0795102001	0.2980488368	0.0825101043		
v000521	-0.296976857	-0.041629342	-0.077267452	0.00031549		
v000523	-0.063742753	-0.126614001	-0.011120196	-0.310562242		
v000528	-0.274711339	-0.048223288	0.002140442	-0.166087775		
v000531	-0.109749485	0.1248756821	-0.041707481	0.032226806		
v000532	-0.126594699	-0.017731322	-0.059055285	-0.411223997		
v000533	0.0245317693	-0.151247999	-0.037638579	-0.202798914		
v000534	0.0792157946	0.0336284021	0.0153126396	-0.586375567		
v000539	-0.20731665	-0.01690267	0.0162171256	-0.152077656		
v000542	-0.136799372	-0.069977972	-0.098651524	-0.348939997		
v000544	-0.255396824	-0.091118932	0.0113051362	-0.262499132		
v000545	-0.247029956	0.1059107086	-0.122963746	-0.011727737		
v000549	-0.247204002	-0.15688825	-0.007542634	0.0523212388		
v000550	-0.278019859	-0.07296514	-0.031038606	-0.222437409		
v000555	-0.136404535	-0.021887066	-0.249146585	-0.0963785		
v000556	-0.184890669	-0.033617775	0.0680699988	-0.042954603		
v000559	-0.082254917	0.0038133774	0.0615176305	-0.005595092		
v000561	-0.26945616	0.0270781191	0.065008619	-0.044260377		
v000562	-0.1607868	-0.076124409	0.0213082969	-0.132627697		
v000563	-0.278380884	-0.037012808	1.1050248267	-0.062296199		
v000564	-0.079967359	-0.063057268	-0.07766938	-0.227690533		
v000565	-0.112901771	-0.15621428	-0.069094671	-0.021637755		
v000567	-0.183089047	-0.067858274	-0.06322594	-0.474245146		
v000569	-0.05712245	0.0233790968	-0.209565872	-0.267437009		
v000573	-0.216647048	-0.25246529	-0.240152827	0.1142730472		
v000577	-0.327137042	-0.057349899	-0.048139747	-0.093956458		
v000579	-0.40790423	0.0088070946	-0.046562193	0.0080232093		
v000583	-0.276840124	-0.142898674	-0.067113389	-0.003398677		
v000586	-0.171369303	-0.053216363	0.7804809611	0.00227565		
v000587	-0.177236341	-0.057708574	0.7562102058	0.0373504429		
v000590	-0.164482654	-0.079116554	-0.121923807	-0.035078875		
v000591	-0.116033146	-0.073157868	-0.082477365	0.1053161119		
v000594	-0.091904191	-0.104509711	-0.064975422	-0.342030239		
v000597	-0.07690097	-0.03576415	0.0608332293	-0.441996402		
v000601	-0.599001712	-0.167608198	-0.135791209	0.3791207985	fac4	1
v000602	-0.369529307	0.0067638243	-0.041733569	-0.196852261		
v000605	-0.045403595	0.0509331894	0.2047088218	0.1269493729		
v000606	-0.055277371	-0.110197345	0.0134237874	-0.212371754		
v000607	-0.374910316	-0.02412267	-0.054841245	-0.09549061		
v000610	-0.010538999	0.151192559	-0.186407602	-0.142171966		
v000611	-0.262308331	-0.079763214	0.0110034159	-0.153291887		
v000615	-0.122520916	-0.055948057	0.0273704361	-0.371744263		
v000617	-0.396380907	-0.057645105	-0.177990396	0.128532366		
v000619	-0.077049766	0.0425520098	-0.031469196	-0.269388816		
v000621	-0.21573331	-0.052322256	-0.057568984	-0.168383337		
v000623	-0.585196867	-0.1524973	-0.212971159	0.3549265117	fac4	1
v000625	-0.025917049	0.0181126051	-0.074181724	-0.233621086		
v000631	-0.297699903	-0.012944703	-0.066716323	-0.175541118		
v000635	-0.136391916	1.283443114	-0.037261923	-0.019850928		
v000638	-0.151562664	0.0008154607	-0.170354912	-0.249567168		
v000639	-0.130136475	-0.015098346	-0.3086623	0.0978513499		
v000643	-0.33720766	-0.031054125	-0.020097272	-0.192085161		
v000644	-0.136391916	1.283443114	-0.037261923	-0.019850928		
v000645	-0.176850567	-0.171433275	-0.367256569	0.0081134255		
v000648	-0.210305077	0.0618170302	-0.038166099	-0.322101113		
v000649	-0.076171313	-0.032888228	0.0153105112	-0.275431088		
v000653	-0.369529307	0.0067638243	-0.041733569	-0.196852261		
v000656	-0.184763911	-0.013840481	0.7976266714	0.1581956135		
v000658	-0.136391916	1.283443114	-0.037261923	-0.019850928		
v000659	-0.040064566	-0.09557702	-0.112133118	0.0215377301		
v000663	-0.127990148	0.2248928762	-0.263171861	0.0566896037		
v000665	-0.102493068	0.0969429042	0.7503208443	-0.067609131		
v000666	-0.111719889	-0.057329287	0.2034080765	-0.274799772		
v000669	-0.218236386	-0.064998207	0.084143042	-0.102125464		
v000671	-0.283986323	-0.146703309	0.012498722	0.0052430487		
v000672	-0.264580658	-0.086655971	-0.001337628	-0.126906562		
v000675	-0.377239461	-0.056530091	-0.067323006	-0.161906643		
v000676	-0.257116948	-0.106582486	-0.261945585	-0.060802492		
v000681	-0.136391916	1.283443114	-0.037261923	-0.019850928		
v000682	-0.111038054	-0.117338297	-0.128208255	-0.238692541		
v000683	-0.574720499	-0.183514449	-0.21358503	0.440664947	fac4	1
v000686	-0.259157766	-0.0059056	-0.136952946	-0.167279975		
v000688	-0.241103379	0.0436234034	0.2430812185	0.1204071726		
v000691	-0.216545328	-0.134306448	-0.013145715	0.0241757939		
v000694	-0.136391916	1.283443114	-0.037261923	-0.019850928		
v000696	-0.137136911	-0.040144614	0.1186331117	-0.038311629		
v000697	-0.193353921	-0.061779908	-0.032888713	-0.238457829		
v000698	-0.116416632	0.0115785822	-0.172051011	-0.059625076		
v000701	-0.025825026	-0.065917128	-0.0581083	-0.110278787		
v000702	-0.314937971	-0.034932981	-0.000954207	-0.009259929		
v000704	-0.080311282	-0.102820873	-0.248646841	-0.00431835		
v000706	-0.536720786	-0.183459031	-0.207641115	0.351924405	fac4	1
v000707	-0.31874145	-0.049327491	0.0662931849	-0.097137734		
v000708	-0.232481978	0.1021237476	-0.269876849	0.0392912979		
v000710	-0.054085087	-0.01381375	-0.088598355	-0.246340887		
v000711	-0.18604899	-0.133421193	0.0910763184	0.2486776022		
v000715	-0.119347446	-0.049273643	0.1032766868	-0.505190593		
v000720	-0.179639461	0.0133105891	-0.128400898	-0.264454289		
v000721	-0.196405125	-0.125847025	-0.074134966	-0.283600078		
v000727	-0.181726931	-0.097517772	-0.03044758	0.0638688481		
v000001	0.5705402286	0.5419328448	-0.334195506	-0.211482216	fac1	
v000002	0.7198826224	0.5521633187	-0.354342662	-0.304641341	fac1	
v000003	-0.175676208	-0.295689898	0.9729458361	0.8001042217	fac3	
v000004	0.3294762095	-0.403520415	0.1342167036	0.835040194	fac4	
v000005	0.5448408384	-0.352478588	-0.222373187	0.0617001841	fac1	
v000006	0.8191436611	-0.077878213	-0.184999425	0.1853114735	fac1	
v000007	0.8344135861	-0.224897916	0.2927332666	-0.021444691	fac1	
v000008	0.5267286954	-0.242590481	0.5244484845	0.2076361409	fac1	
v000009	0.8352798329	-0.235806124	-0.159361828	-0.051243877	fac1	
v000010	0.8125548236	-0.194414616	-0.268949621	0.3547513991	fac1	
v000011	0.7411870396	-0.088432889	0.032311046	-0.542282185	fac1	
v000012	0.6899178029	-0.055904199	-0.361328995	0.5621382922	fac1	
v000013	0.701311834	0.0192461529	-0.032207347	0.0276332774	fac1	
v000014	0.5504069705	-0.126345169	-0.32717256	0.1831082198	fac1	
v000016	0.5654321205	-0.135134367	-0.074056665	0.3437448342	fac1	
v000017	0.4799196429	-0.236070349	-0.371694572	0.0540293544	fac1	
v000018	-0.149605414	-0.131832634	-0.004823633	0.7031569042	fac4	
v000019	0.6595844899	-0.106629743	-0.261929847	-0.043607524	fac1	
v000020	0.6753175283	-0.166438425	-0.046218201	0.0246803297	fac1	
v000024	0.3343055428	-0.039317436	0.1044322583	0.6397799734	fac4	
v000025	0.5401246083	-0.000380929	-0.02735679	0.0299287565	fac1	
v000026	0.6972630019	-0.191086281	0.4512091634	0.1326023135	fac1	
v000027	0.3904535336	-0.219024945	-0.2449396	-0.052671638	fac1	
v000028	0.7387548288	-0.1032519	0.0133394903	-0.367271099	fac1	
v000029	0.6812803407	0.0118216707	-0.204424291	0.0279602041	fac1	
v000030	0.4255434109	-0.305008295	-0.153800413	0.5504150907	fac4	
v000031	0.6764277967	-0.138509095	-0.04343153	0.1904744417	fac1	
v000032	0.5093598711	-0.239897821	0.2433067351	-0.204650266	fac1	
v000033	0.4714451323	-0.189700318	-0.2300929	-0.022854521	fac1	
v000034	0.3401139629	-0.224353871	-0.121041833	0.2764580307	fac1	
v000035	0.5720294477	-0.061267509	-0.158614781	0.1428775319	fac1	
v000037	0.3645977804	-0.008277184	0.4922976179	0.3767768967	fac3	
v000038	0.7381196513	-0.102321429	-0.006138821	-0.208580505	fac1	
v000039	0.7022025075	1.1379017781	0.5621138048	0.3744447143	fac2	
v000040	0.6563235185	0.0505655661	0.0201818815	0.2402881091	fac1	
v000041	0.6132723839	-0.297247005	-0.109422593	0.1384688282	fac1	
v000042	0.5064757918	-0.318928297	0.1002240104	-0.475813309	fac1	
v000043	0.3815483948	-0.119508353	-0.258767502	0.2142350674	fac1	
v000044	0.5662314782	-0.171531772	-0.129464849	0.0446628748	fac1	
v000045	0.4313289298	1.0646414821	-0.258397636	0.7231652642	fac2	
v000046	0.6672060267	-0.016607854	0.0119741262	-0.420568415	fac1	
v000047	0.3910788985	0.1152896142	-0.241831852	0.2360510077	fac1	
v000048	-0.076813085	-0.033318675	-0.030566279	0.1311614553		
v000049	0.744421019	-0.066090227	-0.069033329	-0.114314303	fac1	
v000050	0.6206642832	0.0954696585	0.014000138	-0.089775972	fac1	
v000055	0.4815718353	0.0860674654	0.4798131451	-0.222589616	fac1	
v000056	0.5696728765	-0.051015811	0.0482965815	-0.321764149	fac1	
v000057	0.4049151586	-0.180557109	-0.107054771	-0.192106105	fac1	
v000058	-0.274272041	-0.295789689	-0.500800067	0.80398637	fac4	
v000059	0.4225334922	0.1163228411	0.0588352624	0.6245346938	fac4	
v000064	0.4116946267	0.0737998434	0.1381726909	0.5893777985	fac4	
v000067	0.6373985687	0.0272292952	0.1984026197	0.5312636764	fac1	
v000070	0.7005386268	-0.228590721	-0.104870561	-0.128908034	fac1	
v000071	0.690548847	-0.020733653	0.4391672008	0.1891976104	fac1	
v000072	0.0077689469	-0.425906462	-0.181066083	-0.085073023	fac2	
v000074	0.7586138268	0.1336304138	0.7287943072	0.0726558411	fac1	
v000079	0.4449083617	0.0955985153	-0.169081892	0.3905961506	fac1	
v000080	0.3966494584	-0.050884295	-0.124991848	-0.337879799	fac1	
v000081	0.1271280501	-0.289692019	-0.314859433	-0.035841448	fac3	
v000082	0.1641548707	0.0696816492	-0.138984487	0.1191818123		
v000083	0.3968181611	-0.153207792	-0.017506818	-0.261538357	fac1	
v000085	0.3657284898	0.0551939211	-0.089100921	-0.056479659	fac1	
v000086	0.0187517875	0.007855662	0.4341505743	0.1713582097	fac3	
v000087	0.0788005854	-0.192627782	0.275572812	0.3863937471	fac4	
v000088	0.615539996	0.045463445	0.1130246761	-0.020175271	fac1	
v000089	0.2661483403	-0.127895374	0.0026444031	-0.284549032		
v000091	-0.106892601	-0.094979613	-0.247817861	0.1876189652		
v000095	0.5338871847	-0.075150277	0.0007124381	0.0428662807	fac1	
v000096	0.2632461274	0.0298975918	-0.277275316	0.1860347507		
v000100	0.2940052679	-0.173026916	-0.015593902	-0.233840426		
v000102	0.5132765392	0.0613578871	-0.103970496	0.1278266941	fac1	
v000103	-0.245210124	-0.022860091	1.1712427239	0.290569312	fac3	
v000105	0.4774340413	1.0986520674	0.0153874904	0.1162601924	fac2	
v000106	0.1950699468	-0.169865198	-0.188460067	0.062279387		
v000108	0.1518484801	-0.282521421	-0.507047807	0.2226734058	fac3	
v000109	0.5488978102	-0.007181726	-0.160043143	0.2310329985	fac1	
v000110	0.3271021014	-0.211198919	-0.05601302	-0.01878154	fac1	
v000111	-0.083210578	0.0091215913	-0.026578346	0.5097522974	fac4	
v000112	0.4598086541	-0.125189846	-0.072090515	-0.06909	fac1	
v000114	0.3142536217	-0.125431507	0.8051445941	0.1289642873	fac3	
v000117	-0.220430818	-0.012660828	1.1867389097	0.2481126426	fac3	
v000119	0.4581326067	-0.059930081	-0.028286161	-0.057874905	fac1	
v000121	0.0044580049	-0.263555804	-0.121219956	0.0336749976		
v000126	0.4531674628	-0.00854421	-0.0822847	-0.021406359	fac1	
v000129	0.1139738859	-0.128980852	-0.072967981	-0.134490523		
v000130	0.0391121281	-0.005148504	-0.259072691	0.010153316		
v000131	0.1687580778	-0.112209402	0.1792631181	-0.557594191	fac4	
v000135	0.0170989539	0.0055905541	-0.127641543	-0.079944734		
v000139	0.129737179	0.0926285023	0.1091289933	0.1688443434		
v000143	0.306227743	-0.044852982	0.0329046982	-0.535638285	fac4	
v000145	-0.128103549	-0.245905717	0.0382140559	0.013653508		
v000148	0.1876212153	-0.041485971	-0.042588807	0.2301363959		
v000157	0.0461584077	-0.075520445	-0.162471774	0.2831245642		
v000158	0.1708816758	-0.116899309	-0.176960562	0.0869903005		
v000163	0.2197463526	-0.164327597	-0.077109222	-0.480252819	fac4	
v000164	0.3824767456	0.0857615588	0.2156287691	0.1960949533	fac1	
v000171	-0.024986346	-0.315826863	-0.253277164	0.2077206254	fac2	
v000185	0.3127617021	-0.031141194	0.0695581742	0.1943156047	fac1	
v000188	-0.219631228	-0.204456512	-0.154446079	-0.085345155		
v000204	0.0578754002	-0.023108957	0.6057036491	0.1131309508	fac3	
v000207	0.0293096031	-0.292255127	-0.131324564	0.294840459		
v000222	0.2314643332	0.1687713849	-0.102174128	-0.000609094		
v000224	0.2329787904	-0.012747608	0.0394862149	-0.198485943		
v000227	-0.034842313	-0.095312821	-0.086599078	0.6930581344	fac4	
v000231	0.1476477617	-0.071844638	-0.296426753	0.2694289275		
v000238	0.32624055	1.2547532998	0.0062888804	0.1757535589	fac2	
v000239	0.1408256302	-0.056917036	-0.263151036	0.2487221672		
v000246	-0.060139982	-0.12376348	-0.189391138	0.2878031419		
v000247	-0.151323285	0.0789482203	0.1904092877	0.2736361615		
v000251	0.1288658304	-0.212086364	-0.143898774	0.1870569228		
v000252	-0.418482345	-0.189694618	-0.265380909	0.5124482586	fac4	
v000253	0.0271074987	-0.131003324	0.0171442335	0.2783987508		
v000254	-0.243791832	-0.085492978	0.0866995818	0.1748740474		
v000259	0.1995448986	0.015526865	-0.109508334	-0.108347388		
v000267	-0.150193328	0.051639737	-0.172936024	0.1337924716		
v000272	-0.003931923	0.0765101825	-0.152041178	0.1154703901		
v000273	0.0749320203	-0.140827076	-0.212921838	-0.168386229		
