df_index	no_mention
000765	#BolsonaroPresidente22 #BolsonaroNoPrimeiroTurno #Bolsonaro22 #Xandão #STFOrganizacaoCriminosa   10 DIAS BLOQUEADO (((apenas))) POR APOIAR BOLSONARO CADE A LIBERDADE DE EXPRESSAO STF #Twitter !!?? #JovemPan url
000742	#BolsonaroReeleito #Bolsonaro22  #BolsonaroReeleitoEm2022  #STFOrganizacaoCriminosa  #DeusPatriaFamiliaLiberdade #liberdade #CensuraNao url
001698	#BolsonaroReeleitoEm2022  #LiberdadeDanielSilveira  #STFVergonhaMundial url
000822	#BolsonaroReeleitoNoPrimeiroTurno  #Liberdadedeexpressão  #STFOrganizacaoCriminosa  #danielsilveirasenador #sgtflavia url
001743	#BolsonaroTemRazao  #LiberdadeParaDanielSilveira  #STFVergonhaMundial
000126	#Brasil #Liberdade #7deSetPelaLiberdade #PovoNasRuas #STFVergonhaNacional  #SupremoEoPovo
000119	#Brasil #Liberdade #BolsonaroReeleitoEm2022 #Bolsonaro2022 #Direita #SupremoÉoPovo #Conservadorismo  🇧🇷 #Jamais Será Vermelha #ComunismoAquiNão url
000123	#BrasilAcimaDeTudoDeusAcimaTodos #BolsonaroPresidente #Bolsonaro2022 #BolsonaroReeleito  #FechadoComBolsonaro #SupremoÉOPovo #TodoPoderEmanaDoPovo #LiberdadeDeExpressão #CPIdoCirco #SenadoVergonhaNacional
001589	#BrazilWasStolen  LIBERDADE DE EXPRESSÃO  #STFVergonhaMundial url
001588	#BrazilWasStolen  LIBERDADE DE EXPRESSÃO - PACTO DE SAN JOSE DA COSTA RICA  #STFVergonhaMundial url
001881	#BrazilWasStolen #BrazilWasCensored #TSEvergonhanacional #LIBERDADE 🇧🇷 url
000691	#BrazilWasStolen #CensuraNão #LIBERDADE #FFAAsalveOBrasil  #STForganizaçãoCriminosa url
000757	#CENSURADOPT !!! Ditadura da esquerda!!! A mando do PT, o capacho Alexandre de Moraes cúmplice da quadrilha petista, ataca novamente contra a nossa liberdade de expressão! #STFOrganizacaoCriminosa #TseePtralhascensuradores #CensuraPréviaDoPT #PTNuncaMais url
000629	#CENSURANÃO #STFNÃOMEREPRESENTA  #LIBERDADEDEEXPRESSÃOBRASIL  #brazilwasstolem  #SOSFFAA #SOSBRASIL #moraesnãomandanobrasil #stfsujo #stflixo #alexandredemoraesvergonhadobrasil #OPODEREMANADOPOVO
001707	#CPIdasONGS #STFVergonhaMundial  #LIBERDADE 💜🇧🇷 url
001000	#Caminhoneiros  revoltados com a falta de respeito do com Constituição.  Protestos agora contra #alexandredemoraes  #STFRompeuADemocracia  A presidente do precisa intervir e fazer o Min. voltar a cumprir a Constituição. #LIBERDADE
001001	#Caminhoneiros  revoltados com a falta de respeito do com Constituição.  Protestos agora contra #alexandredemoraes  #STFRompeuADemocracia  A presidente do precisa intervir e fazer o Min. voltar a cumprir a Constituição. #LIBERDADE url
001185	#CaminhoneirosNosRepresentam  #Caminhoneiros  #STFRompeuADemocracia  Zé trovão #STFVergonhaNacional  #LIBERDADE
002003	#Censura #Liberdade #Xandão #Exército #Brasil #FoxNews url
000705	#CensuraNAO #LiberdadeDeOpiniao #STFRompeuADemocracia  #STFOrganizacaoCriminosa NÃO PARAR 🌻 NÃO PRECIPITAR 🚫 NÃO RETROCEDER 🇧🇷 url
001635	#CensuraNao  #LiberdadeDeExpressão  #STFVergonhaMundial url
001643	#CensuraNao  #TSEVergonhaNacional  #STFVergonhaMundial   Você como jornalista deveria ser sim contra à censura a liberdade de expressão de outros meios de comunicação.
001040	#CensuraNao #BrazilWasStolen #Brasilfoiroubado #SOSFFAA #LiberdadeDeExpressao  #STFRompeuADemocracia
001933	#CensuraNao #LiberdadeDeExpressao #TSEVergonhaNacional  #LulaLadrao url url
001047	#CensuraNao #STFRompeuADemocracia  #LiberdadeDeExpressao
001557	#CensuraNao #TSEENTREGUEOCODIGOFONTE #STFVERGONHADOBRASIL #LiberdadeDeExpressao #LiberdadeSempre #censuradotse #ConservativeParty #brazilwasstollen #braziliansprings #PATRIOTAS url
000479	#CensuraNao!!!!! Um país sem liberdade de expressão é um país sem revolução!!!  #AlexandreDeMoraesNaCadeia!!
001079	#CensuraNão #Liberdade #STFRompeuADemocracia #STFVergonhaMundial #STEparcial url
001026	#CensuraNão #LiberdadeDeExpressao #TSEvergonhanacional #TSEcadêMeuVoto #STFRompeuADemocracia #Bolsonaro2022 #LulaLadrão url
001128	#CidadeRioDeJaneiro  #07DeSetembroVaiSerGigante #07TodosNasruas #LiberdadeEsteeNossoGrito  #stfrompeuademocracia  #STFVergonhaNacional  #Mito22 url
001048	#Corruption #Eleicoes2022 #Fraude #STFRompeuADemocracia #LiberdadeDeExpressao #Brasil url
000918	#DanielSilveiraLivre #LiberdadeparaDanielSilveira #STFVergonhaNacional #STFOrganizacaoCriminosa
002082	#DanielSilveiraPresoPolitico #LiberdadeParaDanielSilveira  #XandaoNaCadeia #DanielSilveiraSenador #VotoImpressoAuditavelJa #Bolsonaro2022  #CPIdoCirco  #CPIdoLula
002076	#DanielSilveiraPresoPolitico #LiberdadeParaDanielSilveira  #XandaoNaCadeia #ImpeachmentXandaoUrgente #DanielSilveiraSenador #VotoImpressoAuditavelJa #Bolsonaro2022  #CPIdoCirco  #CPIdoLula
002079	#DanielSilveiraPresoPolitico #LiberdadeParaDanielSilveira  #XandaoNaCadeia #ImpeachmentXandaoUrgente #DanielSilveiraSenador #VotoImpressoAuditavelJa #Bolsonaro2022  #CPIdoCirco  #CPIdoLula  #AzizERenanNaCadeia
002081	#DanielSilveiraPresoPolitico #LiberdadeParaDanielSilveira  #XandaoNaCadeia #ImpeachmentXandaoUrgente #DanielSilveiraSenador #VotoImpressoAuditavelJa #Bolsonaro2022  #CPIdoCirco  #CPIdoLula  #ForaOmar laranja do lularapio
001828	#DanielSilveiralivre #liberdadedanielsilveirajá  #STFabusodeautoridade #STFVergonhaMundial  Pessoal não podemos nos calar,temos um deputado federal preso por crime de opinião, prisão ilegal. Vamos cobrar sua liberdade pois mesmo tendo pago fiança continua em prisão ilegal. url
000059	#DerrubandoNarrativas  #DeusPatriaFamiliaLiberdade  #LiberdadeDeExpressao  #SUPREMOEOPOVO  #brazilwasatolen  #PatriaAmada #Proarmas  #FazoLdeLADRAO url
001437	#Dia07VaiSerGIGANTE   #STFRompeuADemocracia   #LiberdadeParaRobertoJefferson   🇧🇷🇧🇷🇧🇷 url
001435	#Dia07VaiSerGIGANTE   #STFRompeuADemocracia   #LiberdadeParaRobertoJefferson url
001386	#Dia07VaiSerGIGANTE  #LiberdadeJa  #STFRompeuADemocracia
001979	#Dia07VaiSerGIGANTE #ForaBarroso #TSEVergonhaNacional #LiberdadeNãoTemPreço
001329	#Dia07VaiSerGIGANTE 👉 #STFRompeuADemocracia 👉 Vem para rua Brasil. #LiberdadeParaRobertoJefferson url
000143	#Dia07VaiSerGIGANTESCO #PatriaAmadaBrasil #FechadoComBolsonaro #Bolsonaro2022 #SupremoEoPovo #IndependenciadoBrasil #Liberdade #STFVergonhaNacional
000504	#Dia7VaiSerGIGANTESCO #ForaAlexandreMoraes avancou o peão e deu um XEQUE no #AlexandreDeMoraesNaCadeia pois que ele não pode anular uma Lei que quer a liberdade de expressão.
000505	#Dia7VaiSerGIGANTESCO #STFVergonhaNacional #STFRompeuADemocracia #AlexandreDeMoraesNaCadeia #LiberdadeParaRobertoJefferson
001330	#Dia7VaiserGigante  #Liberdade #BolsonaroOrgulhoDoBrasil  #STFRompeuADemocracia  #Dia07DeSetembroNosVemosNaPaulista 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 url
001348	#Dia7VaiserGigante #LiberdadeDeOpiniao #LiberdadeDeExpressao #CNNlixo #cnnnovodia  O Brasil tem que LUTAR contra essa desigualdade de JUSTIÇA #STFRompeuADemocracia 👇👇👇👇👇 url
001345	#Dia7VaiserGigante #RodrigoPachecoFrouxo #STFRompeuADemocracia #liberdadedeopiniao
001746	#DitaduraDaToga  #LiberdadeParaDanielSilveira  #STFvergonhaMundial
001722	#DitaduraDaToga  #STFVergonhaMundial  #LiberdadeDeExpressão
001800	#DitaduraDaToga  #STFVergonhaMundial  #LiberdadeParaRobertoJefferson  #SergioReisPatriota  #EuQueroVotoImpresso  #tsevergonhanacional
001757	#DitaduraDaToga #STFVergonhaMundial  #LiberdadeLiberdade
001652	"#DitaduraDaToga #STFVergonhaMundial  Lógico que a ""imprensa"" não vai defender os colegas de profissão, né? Nem condenar esse abuso de autoridade e crime contra a liberdade de expressão,contra a CF. Deveriam ter feito o mesmo qdo a #GloboLixo acusou o PR de mandar matar Marielle!"
000703	#DitaduraEsquerdista Ué... Cade o Consorcio de Imprensa comunista petista para falar em Democracia e Liberdade de Imprensa??? 🤔 #LixosEsquerdistas #FraudeNasEleições #STFOrganizacaoCriminosa #TSEOrganizacaoCriminosa  url
001867	#DitaduraNuncaMais #LiberdadeDeExpressão #TSEOrganizacaoCriminosa  url
001629	#Ditaduranao  #STFVergonhaMundial #CensuraNao  #Liberdade url
001592	#EleicoesLimpas, a limpeza do judiciário, #LiberdadeDeExpressao e #LulaNaCadeia é o que o povo quer #STFVergonhaMundial #perdeumanenaoamola #perdeumane #NaoAmola #BrasilNasRuas
001314	#EsquerdaCriminosaNuncaMais  #0709EuVou  #LiberdadeNaoSeGanhaSeToma  #STFRompeuADemocracia  #stfmafiadopcc url
001969	#EsquerdaLixo #STFGabineteDoCrime #STFVergonhaNacional #TSEVergonhaNacional#ForçasArmadasDoBrasil #Bolsonaro22 #LiberdadeLiberdade #OrdemEProgresso
001941	#EstamosComAJovemPan #LiberdadeDeExpressao #STFVergonhaNacional #TSEVergonhaNacional url
000739	#EuApoioOsCaminhoneiros  Ninguém esta bloqueado o ir e vir dos cidadãos, apenas manifestando a sua liberdade de pensamento. Vivemos em uma democracia, e todos têm o direito de se manifestar.  #STFOrganizacaoCriminosa
001452	#EuApoioSergioReis  #EuApoioOtoni  #BolsonaroOrgulhoDoBrasil #BolsonaroTemRazao #AceitaPacheco  #LiberdadeDeExpressao #LiberdadeDeOpiniao #STFRompeuADemocracia url
000950	#EuApoioTeAtualizei Liberdade de expressão ou ditadura do judiciário? #STFinimigoDoPovoBrasileiro #STFOrganizacaoCriminosa
001832	#EuAutorizoPresidente  #ReestabeleçaoArt5daCF.  #LiberdadeaoTrabalho.   #LiverdadeDeExpressao.    #STFVergonhaMundial   #SenadoVergonhaNacional.  #ForaGovernadoresCorruptos  #IntervençãoemSP url
001838	#EuAutorizoPresidente #BolsonaroAte2026 #VamosPraRua #STFVergonhaMundial #congressocorrupto #SenadoFederalVergonhaNacional #EstadodeDefesa #liberdade url
000395	#EuAutorizoPresidenteBolsonaro A FAZER O QUE FOR PRECISO! #LiberdadeDeExpressao #LiberdadeParaRobertoJefferson #ConstitutionDay #Constituicao #AlexandreDeMoraesDitador
001261	#EuNaoVoteiNoSTF  STF NÃO representa o povo brasileiro, STF DEVEM RESPEITAR O POVO BRASILEIRO….isso sim…. #STFRompeuADemocracia #Dia7VaiserGigante #DireitaUnida #PovoNasRuas #LiberdadeDeExpressao url
001157	#EuapoioDanielSilveira  #STFRompeuADemocracia  #LiberdadeDeOpiniao url
000384	#EuapoioDanielSilveira #EuApoioDanielSilvera #AlexandreDeMoraesDitador #Liberdade #Bolsonaro2022 #BolsonaroTemRazao #BolsonaroPresidenteAte2026 #BolsonaroReeleito2022 url
000385	#EuapoioDanielSilveira #EuApoioDanielSilvera #AlexandreDeMoraesDitador #Liberdade #BolsonaroTemRazao #Bolsonaro2022 url
000853	#EuapoioDanielSilveira #liberdadedeexpressao a lei não existe os crimes não existem #STFOrganizacaoCriminosa #STFVergonhaNacional o ano que vem vai ter impechmeant de Ministros #renovasenado covardes url
001147	#FREEDOM #STFcrashedDemocracyInBrazil #BolsonaroTheBestPresidentEver  #LIBERDADE #STFrompeuAdemocracia #STFvergonhaNacional #DitaduraDaToga #STFgolpista  #BolsonaroTemRazão O preço da LIBERDADE é a eterna vigilância! #BolsonaroReeleito2022 #Bolsonaro22 👍🇧🇷 url
000184	#FechadoComBolsonaroAte2026 #SUPREMOÉOPOVO #liberdade url
000155	#FechadoComBolsonaroAte2026 #SupremoÉOPovo #liberdade #EuAutorizoPresidente url
000190	#FechadoComBolsonaroAte2026 #SupremoÉOPovo #liberdade url
000162	#FechadosComBolsonaro  #SupremoEoPovo  #Liberdade url
001841	#FiqueEmCasa Feche o comércio, perca sua liberdade de expressar, fechem as igrejas, percam seus imóveis para a ajuda ao governo, aos poucos, devagar e sem resistência à população estará aos pés e de joelhos para os ditadores. #STFVergonhaMundial #BolsonaroTemRazaoDeNovo url
000502	#ForaAlexandreMoraes #ForaXandaodoPCC #AlexandredeMoraesnaCadeia #ToContigoBolsonaro #LiberdadeDeExpressao url
001406	#ForaComunistas #SOSFFAA  #AlexandreNaCadeia #BrasilLivre #STFRompeuADemocracia  #ImprensaComunista #SenadoVendido #LiberdadeDeExpressao
000022	#ForaLula #PovosOeiginaeios #Liberdade #CensuraNao #SupremoéoPovo url
000736	#ForaLulaLadrao  #STFOrganizacaoCriminosa  Viva a liberdade de expressão... FORA LULA LADRÃO url
